,country,status,gdp,plastic_usage_per_cative,mean of income,tax,population,coeff_prod_before,coeff_prod_after,prod_state,coeff_cons_before,coeff_cons_after,cons_state,full_coeff_prod,full_coeff_cons
0,Kuwait,X,24811,495.5,70.08083333,-1,4072.25,[0.47039802],[],None,[0.40309901],[],None,[0.6082287485162368],[0.4915294465974557]
1,Lebanon,X,3801,354,18.07866667,-1,4530,[0.],[],None,[0.38538987],[],None,[-511.80205732359343],[0.46937053759511915]
2,Libya,X,7614,100.3333333,19.39325,-1,6301.833333,[-3.11727432],[],None,[-2.66088941],[],None,[0.23617009377625203],[0.3724620114781396]
3,Malaysia,B,9040,743.1666667,25.79241667,-1,30818.75,[0.],[-5.08005005],Ban/Tax,[-2.44249065e-15],[0.58086133],Ban/Tax,[0.6662324310993668],[0.6875527077087793]
4,Mexico,B,9271,432.8333333,17.4,-1,126068.3333,[7.77156117e-16],[0.64027981],Ban/Tax,[-2.66453526e-15],[0.64931906],Ban/Tax,[0.7330895380479945],[0.758499251654748]
5,Morocco,B,2896,179.5,8.07125,-1,33330.33333,[0.42502488],[0.12591076],Ban/Tax,[0.72822909],[0.40668486],Ban/Tax,[0.3800037647842292],[0.5815226552958651]
6,Netherland,T,46039,875.5833333,49.64766667,0.3,16881.08333,[-5.12872345],[0.37604715],Ban/Tax,[0.27746304],[0.4058383],Ban/Tax,[0.722539497343067],[0.6434219548431819]
7,Nigeria,B,2229,58.5,5.922416667,-1,177087.25,[0.58068917],[0.20923492],Ban/Tax,[0.67030935],[0.36152295],Ban/Tax,[0.547649426880483],[0.636006049453067]
8,Oman,B,16823,565.9166667,44.24883333,-1,3688.25,[],[0.57791512],None,[],[0.43996248],None,[0.6033535484555153],[0.49856799770482063]
9,Pakistan,B,1208,63.16666667,5.008916667,-1,185108.9167,[1.06845365],[0.38217639],Ban/Tax,[1.27921552],[0.573461],Ban/Tax,[0.5473827886088964],[0.6470206616208423]
10,Peru,T,7023,240.75,11.96641667,0.03,31711.5,[0.26463863],[0.08362367],Ban/Tax,[0.61320075],[0.27551936],Ban/Tax,[0.2611065575222572],[0.5999466795777706]
11,Poland,T,15468,711.25,26.41308333,0.08,38024,[0.65646232],[0.32436139],Ban/Tax,[0.7633082],[0.44301249],Ban/Tax,[0.644165308068016],[0.7010894574651036]
