,Unnamed: 0,country,status,gdp,plastic_usage_per_cative,mean of income,tax,population,coeff_prod_before,coeff_prod_after,prod_state,coeff_cons_before,coeff_cons_after,cons_state,full_coeff_prod,full_coeff_cons,full_coeff_prod_num,full_coeff_cons_num
0,0,Kuwait,X,24811,70.08083333333333,286718.25,-1.0,4072.25,[0.4703981],[],None,[0.40309889],[],None,[0.6082287800065679],[0.49152937495431054],0.6082287800065679,0.49152937495431054
2,2,Libya,X,7614,19.39325,121947.83333333331,-1.0,6301.833333333333,[-3.1172781],[],None,[-2.66088784],[],None,[0.23617000365240334],[0.3724617608094244],0.23617000365240334,0.3724617608094244
3,3,Malaysia,B,9040,25.792416666666668,621762.9307315833,-1.0,30818.75,[-6.66133815e-16],[-5.08011933],Ban/Tax,[0.],[0.58086136],Ban/Tax,[0.6662324673554636],[0.6875527223618485],0.6662324673554636,0.6875527223618485
4,4,Mexico,B,9271,17.399999999999995,2.2036614166666664,-1.0,126068.33333333331,[5.55111512e-17],[0.64027981],Ban/Tax,[7.77156117e-16],[0.64931906],Ban/Tax,[0.7330895452640854],[0.7584992425199677],0.7330895452640854,0.7584992425199677
5,5,Morocco,B,2896,8.07125,270376.75,-1.0,33330.333333333336,[0.42502485],[0.12591077],Ban/Tax,[0.72822914],[0.40668493],Ban/Tax,[0.3800036933285752],[0.5815227350711305],0.3800036933285752,0.5815227350711305
6,6,Netherland,T,46039,49.64766666666667,838891.25,0.3,16881.083333333332,[-5.12872195],[0.37604729],Ban/Tax,[0.27746306],[0.40583826],Ban/Tax,[0.7225394990312843],[0.6434219199121294],0.7225394990312843,0.6434219199121294
7,7,Nigeria,B,2229,5.922416666666667,354987.03714850004,-1.0,177087.25,[0.58068914],[0.20923478],Ban/Tax,[0.67030938],[0.36152296],Ban/Tax,[0.5476494724651386],[0.636005998924989],0.5476494724651386,0.636005998924989
8,8,Oman,B,16823,44.24883333333333,163382.33333333334,-1.0,3688.25,[],[0.57791511],None,[],[0.43996241],None,[0.6033535923502404],[0.4985679516456978],0.6033535923502404,0.4985679516456978
9,9,Pakistan,B,1208,5.008916666666666,547646.0544388333,-1.0,185108.91666666663,[1.06845358],[0.38217641],Ban/Tax,[1.27921555],[0.57346098],Ban/Tax,[0.5473828482251415],[0.6470207126589956],0.5473828482251415,0.6470207126589956
10,10,Peru,T,7023,11.966416666666666,382361.3333333333,0.03,31711.5,[0.26463853],[0.08362366],Ban/Tax,[0.61320077],[0.27551946],Ban/Tax,[0.26110680354600463],[0.5999465962185331],0.26110680354600463,0.5999465962185331
